FIRST,MIDDLE,LAST,RACE,ETHNICITY,GENDER,ADDRESS,CITY,POSTCODE
Roy,Samuel,Kirk,white,nonmixed,M,274 Hunt Heights,Nailsea,BS21
Roland,Dominic,Chambers,white,nonmixed,M,796 Arnold Grove Apt 76,Tiverton,EX16
Lawrence,Robert,Day,white,nonmixed,M,984 Pearce Quay Unit 44,Barnstaple,EX31
Trevor,Antony,Stephens,white,nonmixed,M,717 Chowdhury Arcade Apt 82,Bournemouth,BH1
Julie,Irene,Hayes,asian,nonmixed,F,915 Reynolds Bypass,Gloucester,GL1
Brenda,Veronica,Miles,white,nonmixed,F,144 Thompson Green Apt 17,Taunton,TA1
Penelope,Katherine,Palmer,white,nonmixed,F,876 Ford Esplanade Suite 10,Swindon,SN1
Cecil,Donald,Price,white,nonmixed,M,380 Knight Station,Newton Abbot,TQ12
Dennis,Philip,Pearce,white,nonmixed,M,160 Bishop Approach Apt 16,Lydney,GL15
Victor,Paul,Nelson,white,nonmixed,M,819 Taylor Underpass,Cheltenham,GL50
David,Gerald,Chapman,white,nonmixed,M,252 Andrews Promenade,Helston,TR13
George,Alfred,Rehman,white,nonmixed,M,713 Lloyd Heights Apt 74,Ferndown,BH22
Maxine,Emma,Graham,white,nonmixed,F,488 Dean Mill Suite 86,Bristol,BS1
Michael,Wilfred,Burgess,white,nonmixed,M,1015 Barker Gardens Apt 38,Trowbridge,BA14
Hilary,Toni,Gilbert,white,nonmixed,F,571 Thomas Bridge Apt 37,Exmouth,EX8
Timothy,Gerald,Powell,white,nonmixed,M,1079 Rose Viaduct,Bristol,BS1
Sylvia,Gwendoline,Field,white,nonmixed,F,125 Anderson Drive,Bristol,BS1
Phyllis,Robyn,Cooke,white,nonmixed,F,945 Banks Park Suite 73,Poole,BH15
Daniel,Jesse,Ashton,white,nonmixed,M,386 Bryant Street,Wellington,TA21
Marjorie,Jeanette,Morley,white,nonmixed,F,159 Barrett Forge Unit 60,Calne,SN11
Clarence,Eric,Hayward,white,nonmixed,M,121 Shaw Row,Bournemouth,BH1
Charles,Stephen,Hamilton,white,nonmixed,M,554 Cartwright Run,Cheltenham,GL50
Dorothy,Beth,Woods,white,nonmixed,F,690 Preston Overpass,Weymouth,DT4
Stephanie,Lorraine,Robson,white,nonmixed,F,114 Robson Frontage road Apt 46,Poole,BH15
Henry,Damien,Morris,white,nonmixed,M,995 Gray Gate,Bristol,BS1
Vincent,Frank,Banks,white,nonmixed,M,988 Field Park,Poole,BH15
Hazel,Monica,Payne,white,nonmixed,F,344 Poole Vista,Bristol,BS1
Janet,Joanna,Hill,white,nonmixed,F,501 Coleman Quay,Bristol,BS1
Martin,Andrew,Ahmad,white,nonmixed,M,875 Gilbert Vista,Cheltenham,GL50
Alan,Keith,Barnes,white,nonmixed,M,963 Abbott Terrace,Helston,TR13
Lucy,Sarah,Islam,white,nonmixed,F,922 Wheeler Plaza Apt 75,Plymouth,PL1
Lynda,Helen,Chowdhury,asian,nonmixed,F,217 Simpson Pathway,Okehampton,EX20
Linda,Katie,Robinson,white,nonmixed,F,442 Evans Center,Midsomer Norton,BA3
Joanna,Naomi,Burgess,white,nonmixed,F,942 Begum Bay Suite 72,Plymstock,PL1
Allan,Bryan,Hussein,white,nonmixed,M,492 Thornton Station Apt 92,Bristol,BS1
Jade,Angela,Mills,white,nonmixed,F,449 Mann Frontage road,Bristol,BS1
Paul,Douglas,Macdonald,white,nonmixed,M,837 Butler Station,Bristol,BS1
Hilda,Paula,Day,white,nonmixed,F,322 Arnold Light,Bristol,BS1
Edward,Norman,Gallagher,white,nonmixed,M,960 Harris Frontage road Apt 41,Bideford,EX39
Evelyn,Lesley,Miles,white,nonmixed,F,252 Duffy Crossroad Suite 62,Filton,BS34
Beryl,Florence,Lamb,white,nonmixed,F,972 Hassan Ranch,Bristol,BS1
Carole,Doris,Jones,white,nonmixed,F,334 Bibi Stravenue,Trowbridge,BA14
Heather,Julie,Carroll,white,nonmixed,F,896 Alam Burg Suite 46,Bristol,BS1
Diane,Ruth,Dawson,white,nonmixed,F,988 Pritchard Key,Redruth,TR15
Hugh,Frank,Armstrong,white,nonmixed,M,250 Alexander Grove Unit 88,Bournemouth,BH1
David,Daniel,Rose,white,nonmixed,M,918 Campbell Well,Bath,BA1
Sam,Clive,Clayton,white,nonmixed,M,617 Hutchinson Lock Suite 68,Bristol,BS1
Dora,Jennifer,Holland,white,nonmixed,F,1097 Bates Loaf,Merley,BH21
Patrick,Arthur,Taylor,white,nonmixed,M,714 Barton Drive,Shepton Mallet,BA4
Kieran,Francis,Joseph,white,nonmixed,M,289 Shaw Port,Bristol,BS1
Annie,Amy,Andrews,white,nonmixed,F,459 Harvey Vista,Plymstock,PL1
Francis,Stuart,Henry,white,nonmixed,M,853 Henry Gardens Suite 19,Swindon,SN1
Daisy,Louise,Fowler,white,nonmixed,F,384 Gardner Run,Bristol,BS1
Hugh,Karl,Higgins,white,nonmixed,M,225 Savage Ranch,Camborne,TR14
Steven,Mark,White,white,nonmixed,M,668 Rose Street Unit 47,Helston,TR13
Andrew,Gareth,Davey,white,nonmixed,M,754 Kemp Heights,Bristol,BS1
Andrea,Eileen,Barrett,white,nonmixed,F,695 Kay Boulevard,Brixham,TQ5
Rosemary,Veronica,McDonald,white,nonmixed,F,887 Berry View Unit 57,Poole,BH15
Gladys,Andrea,Ross,white,nonmixed,F,782 Gill Throughway Apt 50,Redruth,TR15
Mary,Denise,Alam,white,nonmixed,F,599 Wood Crossing,Bournemouth,BH1
Hector,Bruce,Evans,asian,nonmixed,M,852 Hartley Passage,Bristol,BS1
Jason,Leslie,Thorpe,white,nonmixed,M,452 Walker Road Unit 9,Exeter,EX4
Frank,Scott,Bond,white,nonmixed,M,129 Farrell Gardens Apt 99,Bradford on Avon,BA14
Peter,James,Greenwood,white,nonmixed,M,312 Miah Path Apt 24,Devizes,SN10
Lawrence,Daniel,Miah,white,nonmixed,M,476 Holmes Camp,Bath,BA1
Sylvia,Maria,Doyle,white,nonmixed,F,201 Cooke Approach Apt 46,Plymouth,PL1
Douglas,Charles,Grant,white,nonmixed,M,766 Barnes Quay Suite 65,Bristol,BS1
Terence,John,Watson,white,nonmixed,M,936 Thomson Lock Suite 37,Truro,TR1
Rebecca,Gillian,Todd,white,nonmixed,F,629 Thomson Vale,Chippenham,SN14
Lynn,Catherine,Watson,white,nonmixed,F,150 Ward Crossroad Apt 47,Plymouth,PL1
Shane,Patrick,Palmer,white,nonmixed,M,823 Wallace Gate,Devizes,SN10
Benjamin,Harold,Hartley,white,nonmixed,M,926 Reid Well,Exeter,EX4
Frances,Alice,Harris,white,nonmixed,F,666 Cooke Green Apt 0,Redruth,TR15
Barbara,Rachael,Tomlinson,white,nonmixed,F,961 Harrison Tunnel,Poole,BH15
Philip,Clive,Osborne,white,nonmixed,M,1050 James Orchard Unit 93,Exeter,EX4
Craig,Trevor,Moore,white,nonmixed,M,440 Thorpe Passage Apt 54,Taunton,TA1
Leigh,Phillip,Parsons,white,nonmixed,M,644 Armstrong Harbor Suite 62,Truro,TR1
Neil,Ivor,Berry,white,nonmixed,M,643 Singh Viaduct Suite 72,Bristol,BS1
Lesley,Lesley,Sutton,white,mixed,F,117 Wood Estate Apt 46,Swindon,SN1
Kevin,Benjamin,Miller,white,nonmixed,M,934 Nicholls Rue,Bath,BA1
Kevin,Richard,Martin,other,nonmixed,M,847 Field Highlands Suite 98,Bristol,BS1
Maria,Mandy,Hayes,other,nonmixed,F,545 Walker Junction,Exmouth,EX8
Owen,Edward,Oliver,white,nonmixed,M,1088 Khan Fort,Great Torrington,EX38
Donna,Ella,Henry,white,nonmixed,F,765 Dixon Green Apt 97,Redruth,TR15
Elizabeth,Kathryn,Singh,white,nonmixed,F,182 Gordon Underpass Apt 91,Yeovil,BA20
Alexander,Gilbert,Rahman,white,nonmixed,M,414 Cunningham Vista,Barnstaple,EX31
Richard,Harry,Jarvis,white,nonmixed,M,507 Reeves Promenade Apt 92,Swindon,SN1
Alan,Owen,Banks,white,nonmixed,M,702 Shepherd Park,Plymouth,PL1
Kathleen,Wendy,Barrett,white,nonmixed,F,456 Field Pathway,Redruth,TR15
Clarence,Basil,Tucker,white,nonmixed,M,701 Barton Path,Bournemouth,BH1
Barbara,Beatrice,Williamson,white,nonmixed,F,286 Tucker Heights Apt 51,Newton Abbot,TQ12
Alison,Dora,Taylor,white,nonmixed,F,306 Doyle Station,Redruth,TR15
Henry,Daniel,Hudson,white,nonmixed,M,667 Hudson Ramp Suite 71,Plymouth,PL1
Graham,Aaron,Field,white,nonmixed,M,609 Arnold View Suite 84,Bath,BA1
Natasha,Ann,Green,white,nonmixed,F,160 Bennett Overpass Unit 61,Cheltenham,GL50
Alexandra,Margaret,Smith,white,nonmixed,F,1006 Holt Flat Unit 41,Redruth,TR15
Elizabeth,Diana,Davidson,white,nonmixed,F,839 Davey Alley Suite 29,Bristol,BS1
Mohammed,Edward,Ali,white,nonmixed,M,420 Thompson Haven,Plymouth,PL1
Sean,Leonard,Mohammed,white,nonmixed,M,167 Savage Trailer,Barnstaple,EX31
David,Thomas,Birch,white,nonmixed,M,219 Lucas Run Apt 78,Filton,BS34
Susan,Nora,Perry,white,nonmixed,F,294 Gallagher Quay Suite 42,Redruth,TR15
Terry,Stanley,Lowe,white,nonmixed,M,269 Carr Mission,Bath,BA1
Elizabeth,Ann,Scott,white,nonmixed,F,799 Pearson Glen,Bournemouth,BH1
Olivia,Phyllis,Burns,white,nonmixed,F,492 Lambert Highlands Unit 62,Bristol,BS1
Samuel,Mohammed,Peters,white,nonmixed,M,869 Blake Way,Bodmin,PL30
Glenn,Robert,Cartwright,white,mixed,M,933 Scott Fort,Bridgwater,TA5
Jack,Phillip,Hammond,white,nonmixed,M,537 Murphy Rest,Bridgwater,TA5
Gilbert,Derek,Ross,white,nonmixed,M,655 Reeves Boulevard,Barnstaple,EX31
Jason,Christopher,Sanderson,white,nonmixed,M,165 Hudson View Suite 76,Filton,BS34
Sidney,David,Porter,white,nonmixed,M,584 Porter Lock,Exeter,EX4
Matthew,Sidney,Nelson,white,nonmixed,M,1067 Jordan Road Suite 53,Bridgwater,TA5
Shaun,Patrick,Hopkins,white,nonmixed,M,240 Reed Crossing,Bournemouth,BH1
Kayleigh,Karen,James,white,nonmixed,F,253 Porter Light,Redruth,TR15
Hilda,Diane,Brooks,white,nonmixed,F,977 Sutton Mall Unit 5,Bude,EX23
Lisa,Doreen,Hayes,black,nonmixed,F,984 Wade Way,Stroud,GL5
Tracey,Helen,Bird,white,nonmixed,F,1060 Thornton Way Apt 46,Wimborne,BH21
Wayne,Lawrence,Rhodes,white,nonmixed,M,738 Wheeler Ferry,Bath,BA1
Pauline,Valerie,Austin,white,nonmixed,F,731 Walsh Frontage road,Wells,BA5
Dorothy,Nancy,Kelly,white,nonmixed,F,273 Hawkins Gate,Bath,BA1
Eric,Richard,Jordan,white,nonmixed,M,992 Goodwin Common Suite 94,Yeovil,BA20
Lewis,Joe,Lamb,white,nonmixed,M,355 Holden Walk,Bridgwater,TA5
Janice,Sarah,Stone,white,nonmixed,F,670 Akhtar Haven,Redruth,TR15
Jeffrey,Bertie,Wood,white,nonmixed,M,641 Holden Ferry Unit 45,Yeovil,BA20
Deborah,Eva,Dickinson,white,nonmixed,F,730 Patel Promenade Suite 66,Bristol,BS1
Alexander,Raymond,Mills,white,nonmixed,M,111 Dale Drive Unit 39,Paignton,TQ4
Gavin,Gordon,Harrison,white,nonmixed,M,512 Holland Fort,Plymouth,PL1
Colin,Alec,Iqbal,white,nonmixed,M,904 Baker Bypass,Exeter,EX4
Paul,Conor,Hamilton,white,nonmixed,M,1014 Ford Mill,Chippenham,SN14
Jacqueline,Ruth,Peters,black,nonmixed,F,1059 Islam Light Unit 38,Bristol,BS1
Jennifer,Hannah,Lowe,white,nonmixed,F,935 Gray Highlands,Devizes,SN10
David,Wilfred,Morley,white,nonmixed,M,195 Henderson Vista Unit 31,Bath,BA1
Catherine,Maureen,Price,white,nonmixed,F,324 Saunders Park,Bristol,BS1
Jeanette,Alison,Newman,white,nonmixed,F,1088 Russell Union,Bristol,BS1
Elaine,Barbara,Miller,white,nonmixed,F,282 O'Brien Union,Bournemouth,BH1
Emily,Jean,Morton,white,nonmixed,F,1038 Wright Pathway,Bath,BA1
Tom,Marc,Willis,white,nonmixed,M,178 Ryan Common Suite 76,Paignton,TQ4
Florence,Eileen,Jennings,white,nonmixed,F,816 Richardson Burg Apt 9,Gloucester,GL1
Rita,Marina,Clarke,black,nonmixed,F,710 Hardy Fork,Bristol,BS1
Donna,Patricia,Bishop,white,nonmixed,F,737 Kaur Green,Poole,BH15
Jane,Annie,Rehman,white,nonmixed,F,855 Ford Mews Apt 57,Paignton,TQ4
Lee,Thomas,Austin,white,nonmixed,M,1095 Townsend Drive,Dawlish,EX7
Anita,Wendy,Nash,white,nonmixed,F,252 Lane Station,Exeter,EX4
Edward,Aaron,O'Connor,white,nonmixed,M,830 Cartwright Passage Unit 64,St Blazey,PL24
Martyn,Thomas,Reynolds,white,nonmixed,M,604 Kirk Junction Suite 73,Poole,BH15
Derek,Michael,Davies,white,nonmixed,M,570 Burton Brook,Hayle,TR27
Joan,Sharon,Bibi,white,nonmixed,F,187 Kirby Trail,Poole,BH15
Edward,Donald,Thomas,white,nonmixed,M,677 Hayes Trace,Bournemouth,BH1
Ralph,Edgar,Murphy,white,nonmixed,M,611 Webb Rapid Apt 86,Poole,BH15
Desmond,Victor,Taylor,white,nonmixed,M,948 Knowles Center Suite 61,Poole,BH15
Naomi,Courtney,Brooks,white,nonmixed,F,207 Osborne Village Unit 42,Bideford,EX39
Leslie,Andrew,Butt,white,nonmixed,M,417 Shepherd Walk,Weymouth,DT4
Albert,Joseph,Stevenson,white,nonmixed,M,865 Brown Mall,Swindon,SN1
Graham,Gerald,Frost,white,nonmixed,M,639 Lambert Haven,Yeovil,BA20
Mary,Elizabeth,Turner,white,nonmixed,F,848 Johnson Bay Suite 83,Swindon,SN1
Percy,Vincent,Miles,white,nonmixed,M,795 Walton Union,Bridgwater,TA5
Charlene,Lauren,Daniels,white,nonmixed,F,497 Collins Stravenue Unit 77,Bristol,BS1
Lillian,Hannah,Singh,white,nonmixed,F,607 Nicholls Overpass,Bristol,BS1
Jane,Rosemary,Fuller,white,nonmixed,F,756 Curtis Rue Apt 96,Cheltenham,GL50
Stewart,Bernard,Heath,white,nonmixed,M,578 Woodward Key Apt 8,Bath,BA1
Ivy,Elsie,Baker,white,nonmixed,F,649 Greenwood Path Unit 88,Plymouth,PL1
Yvonne,Sian,Cooper,white,nonmixed,F,500 Ford Trailer,Newton Abbot,TQ12
Charlotte,Ellen,Ford,white,nonmixed,F,846 Wilkinson Terrace Unit 62,Poole,BH15
Donna,Hayley,Harvey,white,nonmixed,F,121 Robinson Path Unit 96,Bristol,BS1
Pamela,Mary,Simmons,white,nonmixed,F,1053 Woodward Throughway,Exeter,EX4
Jasmine,Freda,Murray,white,nonmixed,F,386 Nash Common,Gloucester,GL1
Percy,Philip,Hughes,white,nonmixed,M,1022 Riley Frontage road,Malmesbury,SN16
Victor,Horace,Mason,white,nonmixed,M,699 Whitehead Ville Unit 75,Bridgwater,TA5
Damian,Jacob,Francis,white,nonmixed,M,1091 Gardner Mission,Plymouth,PL1
Alexandra,Danielle,Parkinson,white,nonmixed,F,678 Higgins Throughway,Gloucester,GL1
Percy,Francis,O'Connor,white,nonmixed,M,399 Lamb Passage,Weymouth,DT4
Eric,George,Gordon,white,nonmixed,M,709 Davies Green Suite 43,Tewkesbury,GL20
Julia,Sandra,Kelly,white,nonmixed,F,147 Wright Passage Apt 44,Chippenham,SN14
Sara,Linda,Stanley,white,nonmixed,F,287 Bibi Way Suite 73,Bristol,BS1
Gertrude,Nora,Brown,white,nonmixed,F,882 Matthews Passage Suite 4,Bournemouth,BH1
Marina,Margaret,Hodgson,white,nonmixed,F,934 Andrews Road Suite 74,Gloucester,GL1
Eleanor,Judith,Davis,white,nonmixed,F,128 Reynolds Ranch,Exeter,EX4
Clarence,Gordon,Kent,white,nonmixed,M,661 Stanley Way,Paignton,TQ4
Stuart,George,Davison,white,nonmixed,M,589 Bradley Dale,Tewkesbury,GL20
Cheryl,Maria,Harding,white,nonmixed,F,947 Collins Landing,Lydney,GL15
Gladys,Nicola,Gibbs,white,nonmixed,F,301 Andrews Annex,Ilfracombe,EX34
Keith,Clifford,Long,white,nonmixed,M,640 Stewart Flat,Filton,BS34
Marjorie,Rosemary,Hawkins,white,nonmixed,F,1018 Parry Lane Suite 83,Okehampton,EX20
Nicholas,Howard,Richards,white,nonmixed,M,751 Mills Throughway,Weymouth,DT4
Rebecca,Stephanie,Norris,white,nonmixed,F,717 Hancock Bay Apt 36,Paignton,TQ4
Samantha,Marlene,Bradley,white,nonmixed,F,655 Newton Avenue Suite 2,Launceston,PL15
Jack,Geoffrey,Gray,white,nonmixed,M,620 Kirby Route,Tewkesbury,GL20
Ralph,Raymond,Dixon,white,nonmixed,M,131 Sharp Crossing Unit 95,Bath,BA1
Kathleen,Iris,Brooks,white,nonmixed,F,755 Burgess Bridge Apt 48,Gloucester,GL1
Ruby,Muriel,Riley,white,nonmixed,F,512 Miah Rapid Apt 85,Paignton,TQ4
Joanna,Cheryl,Wright,white,nonmixed,F,107 Hamilton Row,Bournemouth,BH1
Louis,Timothy,Khan,white,nonmixed,M,706 Webb Key Suite 76,Warminster,BA12
Denis,Donald,Foster,white,nonmixed,M,954 Heath Bypass,Weymouth,DT4
Dean,Mohammed,Scott,white,nonmixed,M,572 Cole Glen Apt 57,Swindon,SN1
Bryan,Keith,Thorpe,white,nonmixed,M,766 Hartley Vista Unit 46,Torquay,TQ1
Victoria,Kathleen,Hutchinson,white,nonmixed,F,1019 Henderson Green Apt 63,Bournemouth,BH1
Abdul,Mohammad,Reid,white,nonmixed,M,594 Carroll Branch,Weymouth,DT4
Elaine,Brenda,Parkinson,white,nonmixed,F,437 Gilbert Junction,Frome,BA11
Mavis,Winifred,Murphy,white,nonmixed,F,103 Turner Loaf,Swindon,SN1
Anthony,Henry,Mann,white,nonmixed,M,567 Griffin Green Suite 78,Weymouth,DT4
Margaret,Gwendoline,Marshall,white,nonmixed,F,187 Choudhury Rapid,Plymouth,PL1
Margaret,Sarah,Holland,white,mixed,F,441 Ryan Ranch Apt 60,Thornbury,BS35
Maurice,Robin,Knowles,black,nonmixed,M,783 Whittaker Wall,Bath,BA1
Georgina,Claire,Gurung,white,nonmixed,F,227 Mason Avenue,Axminster,EX13
Nora,Hayley,Cooke,white,nonmixed,F,873 Hill Union Unit 0,Tavistock,PL19
Lindsey,Jennifer,Baxter,white,nonmixed,F,515 Hancock Walk,Plymouth,PL1
Stephen,Bernard,Shaw,white,nonmixed,M,966 Harding Light Suite 77,Poole,BH15
Jacqueline,Norah,Marshall,white,nonmixed,F,347 Woodward Trace Apt 58,Frampton Cotterell,BS36
Kathryn,Alexandra,Wade,white,nonmixed,F,303 Mills Esplanade Suite 17,Swindon,SN1
Alexandra,Barbara,Williamson,white,nonmixed,F,1046 Parry Overpass,Crediton,EX17
Scott,William,Baldwin,white,nonmixed,M,549 Mills Rest,Exeter,EX4
Katie,Catherine,Kaur,white,nonmixed,F,569 Ball Byway Suite 31,St Austell,PL25
Martin,Roland,Dawson,white,nonmixed,M,929 Kaur Dale,Taunton,TA1
Diane,Charlotte,Shah,white,nonmixed,F,142 Wade Harbor Unit 17,Bournemouth,BH1
Callum,Lionel,Norris,white,nonmixed,M,556 Wallace Port,Bishop's Cleeve,GL52
Frank,Barry,Dawson,white,nonmixed,M,328 Wilson Wynd Suite 72,Weymouth,DT4
Karen,Christina,Elliott,white,nonmixed,F,287 Preston Mill Suite 59,St Austell,PL25
Ethel,Marina,Quinn,white,nonmixed,F,899 Young Trail,Plymouth,PL1
Kelly,Nicola,Hayward,white,nonmixed,F,627 Holt Club Unit 88,Burnham-on-Sea,TA8
Mark,Roger,Hunt,white,nonmixed,M,732 Reeves Manor,Dorchester,DT1
Gerard,Brian,Barnes,white,nonmixed,M,298 Yates Extension Apt 60,Bristol,BS1
Sharon,Christina,Campbell,white,nonmixed,F,289 McCarthy Throughway,Exeter,EX4
Stanley,Christian,Mason,white,nonmixed,M,594 Scott Bay,Torquay,TQ1
David,Robin,Turner,white,nonmixed,M,846 Saunders Bridge Apt 44,Kingsteignton,TQ12
Douglas,Stephen,Foster,white,nonmixed,M,320 Richardson Ranch Apt 89,Exeter,EX4
Elizabeth,Valerie,Rashid,white,nonmixed,F,651 Scott Trail,Newquay,TR7
Rose,Diana,Alexander,white,nonmixed,F,848 Robson Lock,Bournemouth,BH1
Janice,Agnes,Walsh,white,nonmixed,F,343 Goodwin Mall Unit 59,Chippenham,SN14
Eric,Jonathan,Norris,white,nonmixed,M,737 Osborne Byway Suite 50,Plymouth,PL1
Dora,Julia,Norris,white,nonmixed,F,1061 Carter Lodge,Christchurch,BH23
Mark,Edmund,Wells,white,nonmixed,M,489 Simpson Village Suite 9,Bristol,BS1
Vincent,Kenneth,Kay,white,nonmixed,M,1007 Sanders Ramp,Kingsteignton,TQ12
Angela,Melanie,Richardson,white,nonmixed,F,736 McCarthy Estate Suite 67,Tiverton,EX16
Luke,Christopher,Simpson,white,nonmixed,M,1072 Freeman Center Unit 31,Swindon,SN1
Bruce,Leslie,Griffiths,white,nonmixed,M,1052 Lewis Grove Apt 67,Taunton,TA1
Nigel,Clifford,Walton,white,nonmixed,M,1079 Lawrence Trace Apt 76,Plymouth,PL1
Pamela,Katie,Saunders,white,nonmixed,F,183 Frost Center,Cheltenham,GL50
Sharon,Vanessa,Adams,white,nonmixed,F,1059 Henderson Trace,Plymouth,PL1
Aimee,May,Payne,white,nonmixed,F,730 Patel Bypass Unit 51,Swindon,SN1
Roy,Harry,Page,white,nonmixed,M,659 Reynolds Bridge Unit 89,Exeter,EX4
William,Patrick,Uddin,white,nonmixed,M,173 King Terrace Suite 14,Taunton,TA1
Matthew,Edmund,Kemp,white,nonmixed,M,560 Rowe Branch,Weymouth,DT4
Hilary,Teresa,Chapman,white,nonmixed,F,669 Mills Trail Unit 97,Cheltenham,GL50
Anne,Audrey,Field,white,nonmixed,F,693 Mahmood Mall Suite 20,Swindon,SN1
Anne,Marion,Perkins,white,nonmixed,F,460 Hodgson Terrace,Bishop's Cleeve,GL52
Hazel,Kayleigh,Barton,white,nonmixed,F,1041 Owen Gardens,Ferndown,BH22
Melissa,Heather,Brooks,white,nonmixed,F,440 Duffy Bay,Camborne,TR14
Christine,Maria,Thorpe,white,nonmixed,F,741 Burns Junction,Bournemouth,BH1
Marion,Claire,Jarvis,white,nonmixed,F,609 Zaman Trace Unit 48,Portishead,BS11
Martin,Cecil,Bell,white,nonmixed,M,1000 Holmes Dale,Exeter,EX4
Ralph,Wilfred,Greenwood,white,nonmixed,M,1027 Edwards Common Apt 39,St Blazey,PL24
Daisy,Claire,Yates,white,nonmixed,F,382 Sanders Road Apt 63,Plymouth,PL1
Alan,Stanley,Marshall,white,nonmixed,M,309 Kirby Boulevard,Taunton,TA1
Marie,Linda,Slater,white,nonmixed,F,725 Bond Common Unit 90,Ilfracombe,EX34
Nicola,Dorothy,George,white,nonmixed,F,116 Hartley Mission Unit 76,Street,BA16
Dorothy,Katherine,Thomson,white,nonmixed,F,510 Briggs Path,Bishop's Cleeve,GL52
Katie,Grace,Begum,white,nonmixed,F,603 Alam Well,Plymouth,PL1
Albert,Raymond,Sanderson,white,nonmixed,M,892 Lewis Crossroad,Yeovil,BA20
Rachel,Marion,Coleman,white,nonmixed,F,512 Turner Heights Unit 83,Paignton,TQ4
Michael,Harold,Morrison,white,nonmixed,M,859 Warren Vista Unit 74,Plymstock,PL1
Danielle,Audrey,Spencer,white,nonmixed,F,560 Thomas Divide Suite 31,Bath,BA1
